step	precision_B-OBJECT
1702	0.7835370302200317
3405	0.8694359660148621
5108	0.8945801258087158
6811	0.9059630632400513
8514	0.9152913689613342
10217	0.9215640425682068
11920	0.9265255928039551
13623	0.9310073256492615
15326	0.9346429705619812
17029	0.9378978610038757
18732	0.940592885017395
20435	0.9422652125358582
22138	0.9446544051170349
23841	0.9472355842590332
25544	0.9492724537849426
27247	0.951649010181427
28950	0.9523506760597229
30653	0.9547151923179626
32356	0.9554944634437561
34059	0.9564111232757568
35762	0.9572274088859558
37465	0.9579474329948425
39168	0.958997368812561
40871	0.9592705965042114
42574	0.9610643982887268
