step	recall_B-OBJECT
1702	0.5660393834114075
3405	0.8356984257698059
5108	0.8626988530158997
6811	0.879798173904419
8514	0.8896772861480713
10217	0.8982856869697571
11920	0.9057555794715881
13623	0.9121678471565247
15326	0.9180365204811096
17029	0.9220395684242249
18732	0.92686527967453
20435	0.9303541779518127
22138	0.9346143007278442
23841	0.9371263384819031
25544	0.9401524662971497
27247	0.9427158832550049
28950	0.9452646374702454
30653	0.9483128190040588
32356	0.9499360918998718
34059	0.9500536322593689
35762	0.9512581825256348
37465	0.9527125358581543
39168	0.9537848830223083
40871	0.9544019103050232
42574	0.9552759528160095
