step	recall_I-OBJECT
1702	0.7553231716156006
3405	0.9009135961532593
5108	0.9185752868652344
6811	0.9302606582641602
8514	0.9375635385513306
10217	0.9435917735099792
11920	0.9481022953987122
13623	0.9517222046852112
15326	0.9547724723815918
17029	0.9566798806190491
18732	0.9592496156692505
20435	0.9615317583084106
22138	0.9639809131622314
23841	0.965444803237915
25544	0.9667305946350098
27247	0.9683392643928528
28950	0.9697104096412659
30653	0.9718608260154724
32356	0.9726437926292419
34059	0.9727662801742554
35762	0.9737570881843567
37465	0.9741967916488647
39168	0.9750354290008545
40871	0.9752413630485535
42574	0.9757497906684875
